category,en,fr
menu item,data curator,data curator
menu item,about data curator,a propos de data curator
menu item,services,services
menu item,hide data curator,cacher data curator
menu item,hide others,cacher le reste
menu item,show all,tout montrer
menu item,quit data curator,quitter data cuator
menu item,file,fichier
menu item,new,nouveau
menu item,open,ouvrir
menu item,comma separated,séparateur virgule
menu item,tab separated,séparateur tabulation
menu item,semicolon separated,séoarteur point virgule
menu item,open excel sheet,ouvrir feuille excel
menu item,open data package,ouvrir data package
menu item,edit,éditer
menu item,undo,annuler
menu item,redo,refaire
menu item,cut,couper
menu item,copy,copier
menu item,paste,coller
menu item,insert row above,insérer ligne dessus
menu item,insert row below,insérer ligne dessous
menu item,insert column before,insérer colonne avant
menu item,insert column after,insérer colonne après
menu item,remove row(s),supprimer ligne(s)
menu item,remove column(s),supprimer colonne(s)
menu item,find,trouver
menu item,find next,suivant
menu item,find previous,précédent
menu item,replace next,remplacer suivant
menu item,replace previous,remplacer précédent
menu item,replace all,remplacer tout
menu item,tools,outils
menu item,header row,entête de ligne
menu item,case sensitive header row,entête de ligne sensible à la casse
menu item,guess column properties,propriétés colonne
menu item,set column properties,définir propriétés colonne
menu item,set table properties,définir propriétés table
menu item,set provenance information,définir information provenance
menu item,set data package properties,définir propriétés data package
menu item,validate table,valider table
menu item,export data package,export data package
menu item,window,fenêtre
menu item,next tab,onglet suivant
menu item,previous tab,onglet précédent
menu item,help,aide
menu item,keyboard shortcuts,racourcis clavier
menu item,support forum,support forum
menu item,report issues,raport anomalie
main panel,untitled,sans titre
main panel,add data tab,ajout onglet data
about panel,data curator share usable open data,data curator share usable open data
about panel,Beta version,Beta version
about panel,Access the support forum or report issues via the Help menu,
about panel,Funded by the Queensland Government,Financé par le Gouvernement du Queesnsland
about panel,Coordinated by the ODI Australian Network,Coordonné par ODI Australian Network
about panel,Includes software developed by the Queensland Cyber Infrastructure Foundation on behalf of the Queensland Government and the ODI Australian Network,Includes software developed by the Queensland Cyber Infrastructure Foundation on behalf of the Queensland Government and the ODI Australian Network
about panel,Using Frictionless Data specifications and software,Using Frictionless Data specifications and software
bottom panel,Validation Errors,Erreurs de Validation
bottom panel,Guess column properties,Analyse propriétés colonne
error message,Failed: Guess column properties failed. Column property names must be set.,Erreur: Echec analyse propriétés colonne. Le nom de la colonne doit être défini.
error message,Success: Guess column properties succeeded.,Réussite: analyse propriétés colonne réussie
column properties,name,nom
column properties,title,titre
column properties,description,description
column properties,type,type
column properties,string,string
column properties,number,number
column properties,integer,integer
column properties,boolean,boolean
column properties,object,object
column properties,array,array
column properties,date,date
column properties,time,time
column properties,datetime,datetime
column properties,year,year
column properties,yearmonth,yearmonth
column properties,duration,duration
column properties,geopoint,geopoint
column properties,geojson,geojson
column properties,any,autre
column properties,format,format
column properties,default,default
column properties,email,email
column properties,uri,uri
column properties,binary,binary
column properties,uuid: ,uuid: 
column properties,decimalChar,decimalChar
column properties,groupChar,groupChar
column properties,bareNumber,bareNumber
column properties,decimalChar,decimalChar
column properties,trueValues,trueValues
column properties,falseValues,falseValues
column properties,pattern,pattern
column properties,topojson,topojson
column properties,required,requis
column properties,unique,unique
column properties,minLength,minLength
column properties,maxLength,maxLength
column properties,minimum,minimum
column properties,maximum,maximum
column properties,enum,enum
column properties,rdfType,rdfType
table properties,source(s),source(s)
table properties,add source,ajout source(s)
table properties,path,chemin
